ID,Final,Attend,Year,Semester,Class,Platform
916732146,0.684666667,1,2016,Fall,101,LaunchPad
916732913,0.792333333,1,2016,Fall,101,LaunchPad
916693666,0.834333333,0.775,2016,Fall,101,LaunchPad
917037334,0.853,0.95,2016,Fall,101,LaunchPad
916742676,0.724,1,2016,Fall,101,LaunchPad
915391378,0.311111111,0.35,2016,Fall,101,LaunchPad
916734850,0.484,0.525,2016,Fall,101,LaunchPad
915149994,0.79,0.925,2016,Fall,101,LaunchPad
916045603,0.706333333,0.95,2016,Fall,101,LaunchPad
917114801,0.750333333,0.85,2016,Fall,101,LaunchPad
916932983,0.744333333,0.35,2016,Fall,101,LaunchPad
915968370,0.752666667,0.975,2016,Fall,101,LaunchPad
913745006,0.685333333,0.75,2016,Fall,101,LaunchPad
916543256,0.942777778,0.9,2016,Fall,101,LaunchPad
916782872,0.782,0.875,2016,Fall,101,LaunchPad
915436033,0.357555556,0.775,2016,Fall,101,LaunchPad
916423734,0.894,1,2016,Fall,101,LaunchPad
917220114,0.871333333,1,2016,Fall,101,LaunchPad
916434368,0.448444444,0.85,2016,Fall,101,LaunchPad
917206724,0.814333333,1,2016,Fall,101,LaunchPad
917180126,0.368444444,0.95,2016,Fall,101,LaunchPad
917227732,0.816,0.95,2016,Fall,101,LaunchPad
917012907,0.608888889,0.975,2016,Fall,101,LaunchPad
916639105,0.590666667,0.95,2016,Fall,101,LaunchPad
915059020,0.629777778,0.875,2016,Fall,101,LaunchPad
917211443,0.434,0.925,2016,Fall,101,LaunchPad
916366430,0.157777778,0.275,2016,Fall,101,LaunchPad
916809106,0.229111111,0.675,2016,Fall,101,LaunchPad
916777620,0.717666667,1,2016,Fall,101,LaunchPad
917180009,0.404,0.6,2016,Fall,101,LaunchPad
916093963,0.68,1,2016,Fall,101,LaunchPad
916664494,0.412222222,0.95,2016,Fall,101,LaunchPad
915632905,0.68,0.775,2016,Fall,101,LaunchPad
913408345,0.719555556,0.625,2016,Fall,101,LaunchPad
917208505,0.572666667,0.925,2016,Fall,101,LaunchPad
913460163,0.637333333,0.95,2016,Fall,101,LaunchPad
913722750,0.620666667,1,2016,Fall,101,LaunchPad
916389596,0.805333333,1,2016,Fall,101,LaunchPad
917167165,0.215777778,0.775,2016,Fall,101,LaunchPad
915846144,0.68,1,2016,Fall,102,LaunchPad
916965678,0.919555556,0.810810811,2016,Fall,102,LaunchPad
916213004,0.62728,0.702702703,2016,Fall,102,LaunchPad
911857289,0.679,0.810810811,2016,Fall,102,LaunchPad
915221832,0.7438325,0.675675676,2016,Fall,102,LaunchPad
916615172,0.68,1,2016,Fall,102,LaunchPad
913650691,0.698766667,0.702702703,2016,Fall,102,LaunchPad
916663324,0.762764444,0.864864865,2016,Fall,102,LaunchPad
916227967,0.47004,0.648648649,2016,Fall,102,LaunchPad
916679197,0.889833333,0.945945946,2016,Fall,102,LaunchPad
915886652,0.761333333,0.72972973,2016,Fall,102,LaunchPad
913811085,0.68,0.837837838,2016,Fall,102,LaunchPad
915944294,0.900833333,1,2016,Fall,102,LaunchPad
915505869,0.813444444,0.945945946,2016,Fall,102,LaunchPad
916077115,0.941333333,1,2016,Fall,102,LaunchPad
916890811,0.965833333,0.891891892,2016,Fall,102,LaunchPad
917006355,0.68,0.972972973,2016,Fall,102,LaunchPad
916110005,0.68,0.891891892,2016,Fall,102,LaunchPad
916791465,0.556126667,0.972972973,2016,Fall,102,LaunchPad
915991705,0.77726,0.216216216,2016,Fall,102,LaunchPad
916445379,0.620482222,0.459459459,2016,Fall,102,LaunchPad
916197040,0.976666667,0.810810811,2016,Fall,102,LaunchPad
916307202,0.655577778,0.540540541,2016,Fall,102,LaunchPad
915355394,0.445357778,0.432432432,2016,Fall,102,LaunchPad
916161056,0.354777778,0.243243243,2016,Fall,102,LaunchPad
915473291,0.717706667,0.675675676,2016,Fall,102,LaunchPad
916441115,0.789166667,0.864864865,2016,Fall,102,LaunchPad
916866137,0.741266667,1,2016,Fall,102,LaunchPad
915892996,0.68,0.918918919,2016,Fall,102,LaunchPad
911971312,0.642344444,0.675675676,2016,Fall,102,LaunchPad
916164605,0.794255556,0.918918919,2016,Fall,102,LaunchPad
916556568,0.591564444,0.972972973,2016,Fall,102,LaunchPad
916093729,0.471871111,0.783783784,2016,Fall,102,LaunchPad
915505505,0.692937778,0.864864865,2016,Fall,102,LaunchPad
915830167,0.680397778,0.837837838,2016,Fall,102,LaunchPad
916157897,0.722226667,0.72972973,2016,Fall,102,LaunchPad
915971906,0.68,0.72972973,2016,Fall,102,LaunchPad
912620883,0.821284444,0.486486486,2016,Fall,102,LaunchPad
916808417,0.503484444,0.513513514,2016,Fall,102,LaunchPad
916225627,0.683162222,0.756756757,2016,Fall,102,LaunchPad
915479544,0.804428889,0.72972973,2016,Fall,102,LaunchPad
915831285,0.68,1,2016,Fall,102,LaunchPad
917081040,0.885926667,1,2016,Fall,102,LaunchPad
916082731,0.856486667,0.540540541,2016,Fall,102,LaunchPad
916338051,0.718875556,0.972972973,2016,Fall,102,LaunchPad
916034241,0.632322222,0.621621622,2016,Fall,102,LaunchPad
917028819,0.7035,0.756756757,2016,Fall,102,LaunchPad
916098630,0,0,2016,Fall,102,LaunchPad
916065792,0.440215556,0.540540541,2016,Fall,102,LaunchPad
916257737,0.534306667,0.783783784,2016,Fall,102,LaunchPad
916564160,0.781908889,1,2016,Fall,102,LaunchPad
916248689,0.966833333,1,2016,Fall,102,LaunchPad
916434368,0.572244444,0.72972973,2016,Fall,102,LaunchPad
915845312,0.27426,0.675675676,2016,Fall,102,LaunchPad
916035125,0.832444444,0.702702703,2016,Fall,102,LaunchPad
913308375,0.741751111,0.918918919,2016,Fall,102,LaunchPad
916104883,0.870666667,0.972972973,2016,Fall,102,LaunchPad
916170351,0.681462222,0.891891892,2016,Fall,102,LaunchPad
916140867,0.68,0.756756757,2016,Fall,102,LaunchPad
916317563,0.76062,0.864864865,2016,Fall,102,LaunchPad
917220075,0.647333333,0.621621622,2016,Fall,102,LaunchPad
913408345,0.68,0.72972973,2016,Fall,102,LaunchPad
916389596,0.7995,0.72972973,2016,Fall,102,LaunchPad
